,subclass_scANVI,subclass_conf_scANVI,supertype_scANVI,supertype_conf_scANVI
SM-J2NT9_S115_E1-50,L2/3 IT,1.0,L2/3 IT_1,1.0
SM-J2NT9_S116_E1-50,L2/3 IT,1.0,L2/3 IT_1,1.0
SM-J2NT9_S117_E1-50,L2/3 IT,1.0,L2/3 IT_1,1.0
AB-S40302_S234_E1-50,L2/3 IT,1.0,L2/3 IT_10,0.8980855941772461
AB-S40302_S235_E1-50,L2/3 IT,1.0,L2/3 IT_1,0.997577965259552
SM-J2NSR_S585_E1-50,L2/3 IT,0.9999983310699464,L2/3 IT_1,1.0
SM-J2NSR_S586_E1-50,L2/3 IT,0.906298577785492,L2/3 IT_10,0.569517970085144
SM-J2NSR_S587_E1-50,L4 IT,0.7261286973953247,L4 IT_3,0.6165603399276733
SM-J2NSR_S588_E1-50,L2/3 IT,1.0,L2/3 IT_6,0.7700597643852234
SM-J39VT_S303_E1-50,Sncg,0.8813091516494751,Sncg_6,0.9961424469947816
SM-J39W4_S133_E1-50,Vip,0.9987390637397766,Vip_1,0.9884341359138488
SM-J39W4_S134_E1-50,L4 IT,0.9999997615814208,L4 IT_2,0.9998595714569092
