ses_id,path,size_mb,identifier
911010854,sub-910872916/sub-910872916_ses-911010854_icephys.nwb,31.9,55e96984-90fa-4a8a-ba79-fa7c74540f11
911043413,sub-910872916/sub-910872916_ses-911043413_icephys.nwb,33.7,6e807ccb-bffb-45d2-8733-ab7cd4288e4e
911052626,sub-910872916/sub-910872916_ses-911052626_icephys.nwb,36.2,20d1dd0b-9713-4ddc-b788-b7d37395e07f
911130395,sub-910872916/sub-910872916_ses-911130395_icephys.nwb,44.7,71aea146-ba0f-4154-b741-09d1eb39478a
923103553,sub-922967568/sub-922967568_ses-923103553_icephys.nwb,72.8,414f02e9-3d04-48aa-92d5-15027276c19a
923113568,sub-922967568/sub-922967568_ses-923113568_icephys.nwb,70.9,d4f4e0e8-cb1f-4d38-8675-0fc818198051
933081536,sub-932737114/sub-932737114_ses-933081536_icephys.nwb,22.7,cd49fc1c-b2b1-498b-86bc-0341db801a7d
933107970,sub-932737114/sub-932737114_ses-933107970_icephys.nwb,35.7,2cd7c3e3-af74-46d4-8eb1-05765622f7d7
965241723,sub-965157881/sub-965157881_ses-965241723_icephys.nwb,21.8,e100481a-da3f-4592-912e-4f94ce752030
977186103,sub-977091139/sub-977091139_ses-977186103_icephys.nwb,39.3,8dc0f6be-8735-4a61-98ff-3f914fe51ff6
992002153,sub-991969173/sub-991969173_ses-992002153_icephys.nwb,32.2,830397bc-07ef-45c7-a9db-37d4fd2211e2
992007016,sub-991969173/sub-991969173_ses-992007016_icephys.nwb,33.0,84827bc1-9217-44ed-9fcc-8cb22f414bc3
992017065,sub-991969173/sub-991969173_ses-992017065_icephys.nwb,44.5,37923334-d38a-4129-983f-3892b5e1d196
992024754,sub-991969173/sub-991969173_ses-992024754_icephys.nwb,33.0,a101cc96-6264-4d13-88fd-993e0ec8bf35
992028521,sub-991969173/sub-991969173_ses-992028521_icephys.nwb,68.7,efbb13ba-fc67-4053-b3da-d55f07387d3d
992032183,sub-991969173/sub-991969173_ses-992032183_icephys.nwb,28.8,21709aac-59ac-49f1-bd67-e7f26984364b
1001422850,sub-1001372857/sub-1001372857_ses-1001422850_icephys.nwb,32.4,c074820d-85dc-439d-adc5-aa4a4a628e0d
1001425093,sub-1001372857/sub-1001372857_ses-1001425093_icephys.nwb,37.1,f1c8aea0-ec93-40e9-8c7f-28c8e0a1c7ee
1001441446,sub-1001372857/sub-1001372857_ses-1001441446_icephys.nwb,32.4,bae9be30-163c-43fa-a239-d64850173a58
1001469863,sub-1001372857/sub-1001372857_ses-1001469863_icephys.nwb,35.4,85af46fa-a3a5-42cd-b7ed-3b6ea40bc6cf
1001477951,sub-1001372857/sub-1001372857_ses-1001477951_icephys.nwb,33.2,7c9a791e-1a9d-4bfd-ba97-712fe2f02d72
1001483851,sub-1001372857/sub-1001372857_ses-1001483851_icephys.nwb,31.6,581404e3-67fd-4828-a244-e848f8c0d5f7
1005040168,sub-1005024327/sub-1005024327_ses-1005040168_icephys.nwb,26.4,4e47f228-4c73-45fe-982e-5a53800bf4ab
1005045342,sub-1005024327/sub-1005024327_ses-1005045342_icephys.nwb,23.9,97ffa4ed-3120-4dc2-aaa2-42aa59d8278d
1005054479,sub-1005024327/sub-1005024327_ses-1005054479_icephys.nwb,22.9,e295c8f3-6955-4e20-bfeb-7eaaf75364f5
1005068088,sub-1005024327/sub-1005024327_ses-1005068088_icephys.nwb,26.1,a9e8fbff-1353-4933-835b-2bda5084dbcf
1005077548,sub-1005024327/sub-1005024327_ses-1005077548_icephys.nwb,21.7,d248319d-4e5c-4747-a542-41a74c242317
1005083132,sub-1005024327/sub-1005024327_ses-1005083132_icephys.nwb,31.3,75fa33d6-3c49-4486-85b1-471a96f20f50
1005097691,sub-1005024327/sub-1005024327_ses-1005097691_icephys.nwb,30.4,0a555bf1-fa58-45b3-b7c8-e280e0fe22ca
1005127773,sub-1005024327/sub-1005024327_ses-1005127773_icephys.nwb,40.8,d3ea0b9c-fe58-4d5c-8d1a-8af9cd770690
1005131522,sub-1005024327/sub-1005024327_ses-1005131522_icephys.nwb,44.4,521272c8-9956-4749-8684-769bbfc96369
1010240278,sub-1010207282/sub-1010207282_ses-1010240278_icephys.nwb,32.1,a3a646dc-1e1e-4342-9154-f42e467e457c
1010250626,sub-1010207282/sub-1010207282_ses-1010250626_icephys.nwb,34.5,3dd1ef2a-f3dc-43f3-9685-ece68d500f65
1010273126,sub-1010207282/sub-1010207282_ses-1010273126_icephys.nwb,29.5,0574b300-2778-47f5-ab28-209c8f4a3dfe
1122718412,sub-1122692698/sub-1122692698_ses-1122718412_icephys.nwb,42.6,209b87c4-9363-4f86-ba70-ae56ea25058e
1122740196,sub-1122692698/sub-1122692698_ses-1122740196_icephys.nwb,27.9,a95146e3-097d-456a-99a5-e15c78be1e91
1122745954,sub-1122692698/sub-1122692698_ses-1122745954_icephys.nwb,32.5,4b0a74ad-5d22-4144-bae7-d96990ec5cbe
1122753392,sub-1122692698/sub-1122692698_ses-1122753392_icephys.nwb,28.4,ae43a9db-5925-4eb9-b7f1-a0f9e464e2e3
1122759713,sub-1122692698/sub-1122692698_ses-1122759713_icephys.nwb,49.1,c8e7636e-e9e3-4c3f-9b9b-5b43f874121d
1154338526,sub-1154304730/sub-1154304730_ses-1154338526_icephys.nwb,32.5,7090b076-3ffe-4edb-b38c-de2f358514a2
